🖥️ Host selecionado: BRNOSADM01FW250 (ID: 10512)
📋 Total de itens encontrados: 3320

--- ITENS RELACIONADOS A WAN/INTERFACE ---
ID: 1409546 | Nome: Interface port19(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[38] | Valor: 0 bps
ID: 1409547 | Nome: Interface port20(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[39] | Valor: 0 bps
ID: 1409511 | Nome: Interface wan1(Super Connect): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[3] | Valor: 0 bps
ID: 1409548 | Nome: Interface CABEADA(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[40] | Valor: 0 bps
ID: 1409549 | Nome: Interface Uplink Core(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[41] | Valor: 0 bps
ID: 1409550 | Nome: Interface default(default.fortilink): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[42] | Valor: 0 bps
ID: 1409551 | Nome: Interface quarantine(quarantine.fortilink): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[43] | Valor: 0 bps
ID: 1409552 | Nome: Interface voice(voice.fortilink): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[44] | Valor: 0 bps
ID: 1409553 | Nome: Interface video(video.fortilink): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[45] | Valor: 0 bps
ID: 1409554 | Nome: Interface rspan(rspan.fortilink): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[46] | Valor: 0 bps
ID: 1409555 | Nome: Interface onboarding(onboarding.fortilink): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[47] | Valor: 0 bps
ID: 1409556 | Nome: Interface Clientes_Cenco(b): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[48] | Valor: 0 bps
ID: 1409557 | Nome: Interface ClienteCenco(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[49] | Valor: 0 bps
ID: 1409512 | Nome: Interface wan2(BR Digital): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[4] | Valor: 0 bps
ID: 1409558 | Nome: Interface LG(b): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[50] | Valor: 0 bps
ID: 1409559 | Nome: Interface PWC(b): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[51] | Valor: 0 bps
ID: 1409560 | Nome: Interface ClienteCenco2(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[52] | Valor: 0 bps
ID: 1559703 | Nome: Interface WLSPARK(b): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[53] | Valor: 0 bps
ID: 1564538 | Nome: Interface CSWLAN15(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[54] | Valor: 0 bps
ID: 1564553 | Nome: Interface cswlan15(b): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[55] | Valor: 0 bps
ID: 1570311 | Nome: Interface cenconetCD(b): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[56] | Valor: 0 bps
ID: 1409513 | Nome: Interface ha1(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[5] | Valor: 0 bps
ID: 1409514 | Nome: Interface ha2(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[6] | Valor: 0 bps
ID: 1409515 | Nome: Interface x1(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[7] | Valor: 0 bps
ID: 1409516 | Nome: Interface x2(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[8] | Valor: 0 bps
ID: 1409517 | Nome: Interface modem(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[9] | Valor: 0 bps
ID: 1409570 | Nome: Interface ssl.root(SSL VPN interface): VDOM | Key: fgIntfEntVdom.[10] | Valor: 0 
ID: 1409571 | Nome: Interface lan(): VDOM | Key: fgIntfEntVdom.[11] | Valor: 1 
ID: 1409572 | Nome: Interface fortilink(): VDOM | Key: fgIntfEntVdom.[12] | Valor: 1 
